caption	image
Functional connectivity matrix for resting state	316633_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	310621_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	145834_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	151526_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	644044_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	213421_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	158540_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	333330_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	199352_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	183337_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	561242_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	662551_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	103111_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	117122_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	176037_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	211821_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	209329_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	168139_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	580044_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	304020_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	135932_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	205119_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	213421_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	187547_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	316835_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	131419_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	168947_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	320826_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	175338_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	175237_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	129634_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	394956_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	203418_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	281135_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	517239_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	117324_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	172635_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	685058_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	202820_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	129634_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	644044_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	106824_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	275645_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	304727_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	469961_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	180937_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	169343_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	108020_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	186545_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	169444_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	119025_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	176239_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	510225_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	181232_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	130114_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	433839_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	346137_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	171532_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	588565_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	158136_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	525541_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	570243_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	366042_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	115724_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	136732_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	130720_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	206222_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	113922_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	300719_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	284646_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	523032_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	559457_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	164131_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	688569_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	198350_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	117930_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	115825_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	153126_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	160123_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	130619_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	704238_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	236130_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	204622_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	469961_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	122317_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	656657_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	162026_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	293748_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	185038_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	172130_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	205725_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	151930_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	748662_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	147030_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	690152_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	137027_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	618952_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	136732_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	579867_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	268749_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	179245_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	358144_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	245333_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	419239_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	628248_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	616645_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	707749_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	523032_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	571144_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	163331_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	172534_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	239944_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	397154_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	133928_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	129028_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	559053_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	161731_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	175136_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	448347_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	680250_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	101309_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	162329_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	208024_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	540436_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	553344_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	214019_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	380036_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	162228_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	119126_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	195445_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	136227_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	214726_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	285446_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	541640_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	270332_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	568963_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	157942_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	298455_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	352132_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	567961_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	143426_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	660951_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	519950_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	197550_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	257946_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	102513_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	111009_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	180230_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	152225_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	198451_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	113215_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	165436_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	204420_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	146331_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	114217_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	134223_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	210415_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	127630_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	106016_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	599671_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	371843_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	135629_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	141119_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	286650_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	158338_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	193239_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	555954_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	194443_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	211417_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	587664_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	614439_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	349244_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	214221_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	547046_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	142828_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	213017_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	662551_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	436239_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	358144_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	268749_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	748662_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	147737_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	172332_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	380036_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	150726_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	214221_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	704238_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	672756_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	412528_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	517239_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	168240_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	151829_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	555651_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	695768_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	138130_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	176845_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	280739_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	412528_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	250427_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	204218_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	105216_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	531536_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	284646_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	395756_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	175439_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	105216_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	134223_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	116524_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	692964_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	530635_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	101006_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	196952_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	701535_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	330324_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	206525_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	133928_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	320826_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	102816_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	529549_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	131217_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	159946_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	206323_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	510225_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	173738_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	166438_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	715647_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	645551_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	146836_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	352738_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	187850_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	620434_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	129937_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	115219_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	169040_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	177746_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	123420_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	573249_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	200210_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	100610_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	677968_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	101410_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	118124_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	285345_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	135225_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	198249_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	192843_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	152427_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	468050_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	385450_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	615744_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	143426_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	720337_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	192136_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	114924_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	257946_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	679770_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	346137_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	173435_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	153631_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	604537_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	110007_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	163836_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	139637_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	588565_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	200109_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	150726_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	192843_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	419239_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	185341_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	156637_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	146129_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	680452_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	107725_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	180735_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	157942_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	176037_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	727654_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	371843_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	626648_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	580650_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	280739_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	214524_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	162026_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	512835_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	210112_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	159441_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	128935_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	151425_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	268850_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	449753_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	110411_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	395958_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	196750_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	148133_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	158843_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	657659_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	196750_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	567759_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	341834_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	204521_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	599671_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	194443_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	211821_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	665254_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	117930_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	191033_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	463040_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	189349_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	378857_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	715950_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	723141_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	263436_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	270332_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	154330_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	668361_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	601127_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	638049_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	623844_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	136631_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	187143_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	201111_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	647858_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	589567_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	723141_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	188347_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	211720_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	106521_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	333330_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	158338_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	356948_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	159946_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	567759_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	182739_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	106319_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	180230_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	129331_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	594156_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	109830_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	154431_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	193845_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	123420_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	695768_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	580044_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	390645_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	529953_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	322224_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	348545_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	519647_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	137128_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	150524_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	132017_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	316633_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	613538_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	558960_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	208327_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	115320_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	175338_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	105115_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	158136_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	299154_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	485757_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	155938_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	172332_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	199958_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	131419_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	165436_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	115017_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	361941_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	173839_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	209834_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	204420_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	623844_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	727553_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	102513_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	185341_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	486759_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	349244_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	129331_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	391748_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	725751_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	731140_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	126325_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	192136_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	211720_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	111312_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	198855_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	199453_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	377451_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	100610_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	573451_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	153227_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	401422_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	680957_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	665254_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	188145_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	671855_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	214019_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	675661_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	151627_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	644246_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	154330_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	111514_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	191841_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	106319_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	195849_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	125525_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	196851_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	604537_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	394956_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	192035_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	104416_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	552241_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	572045_rfMRI_REST1_LR 
Functional connectivity matrix for resting state	211417_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	147030_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	169545_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	209935_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	102311_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	125424_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	385450_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	103515_tfMRI_MOTOR_LR 
Functional connectivity matrix for motor task	566454_tfMRI_MOTOR_LR 
Functional connectivity matrix for resting state	149337_rfMRI_REST1_LR 
Functional connectivity matrix for motor task	615441_tfMRI_MOTOR_LR 
